Name,Value,Timestamp,Step
0.05714,"metrics/mAP50(B)",1703849265113,1
0.02219,"metrics/mAP50-95(B)",1703849265113,1
2.1226,"val/box_loss",1703849265113,1
2.9444,"val/dfl_loss",1703849265113,1
2.08e-05,"lr/pg1",1703849265113,1
2.2262,"train/box_loss",1703849265113,1
0.01014,"metrics/precision(B)",1703849265113,1
0.47086,"metrics/recall(B)",1703849265113,1
0.06646,"metrics/mAP50(B)",1703849265113,1
0.02475,"metrics/mAP50-95(B)",1703849265113,1
2.0975,"val/box_loss",1703849265113,1
2.9326,"val/dfl_loss",1703849265113,1
2.1831,"train/box_loss",1703849265113,1
0.01058,"metrics/precision(B)",1703849265113,1
0.47615,"metrics/recall(B)",1703849265113,1
0.06523,"metrics/mAP50(B)",1703849265113,1
0.02695,"metrics/mAP50-95(B)",1703849265113,1
2.0865,"val/box_loss",1703849265113,1
2.9201,"val/dfl_loss",1703849265113,1
